tag	citation
Abe	doi:10.1101/gr.634603
Abramoff2016_dr	doi:10.1167/iovs.16-19964
Agarwal2015_targetscan	doi:10.7554/eLife.05005
Alipanahi2015_predicting	doi:10.1038/nbt.3300
AltaeTran2016_one_shot	doi:10.1021/acscentsci.6b00367
Amit2017_breast_mri	doi:10.1117/12.2249981
Asgari	doi:10.1371/journal.pone.0141287
blast	doi:10.1016/S0022-2836(05)80360-2
Angermueller2016_dl_review	doi:10.15252/msb.20156651
Angermueller2016_single_methyl	doi:10.1186/s13059-017-1189-z
Artemov2016_clinical	doi:10.1101/095653
Arvaniti2016_rare_subsets	doi:10.1101/046508
Bach2015_on	doi:10.1371/journal.pone.0130140
Bahdanu2014_neural	arxiv:1409.0473
Baskin2015_drug_disc	doi:10.1080/17460441.2016.1201262
Bar2015_nonmed_tl	doi:10.1117/12.2083124
Barash2010_splicing_code	doi:10.1038/nature09000
Baxt1991_myocardial	doi:10.7326/0003-4819-115-11-843
BeaulieuJones2016_ehr_encode	doi:10.1016/j.jbi.2016.10.007
Bengio2015_prec	arxiv:1412.7024
Berezikov2011_mirna	doi:10.1038/nrg3079
Bergstra2011_hyper	url:https://papers.nips.cc/paper/4443-algorithms-for-hyper-parameter-optimization.pdf
Bergstra2012_random	url:http://www.jmlr.org/papers/v13/bergstra12a.html
Bracken2016_mirna	doi:10.1038/nrg.2016.134
Boza	arxiv:1603.09195
Buggenthin2017_imaged_lineage	doi:10.1038/nmeth.4182
Burlina2016_amd	doi:10.1109/ISBI.2016.7493240
Caruana2014_need	arxiv:1312.6184
Caruana2015_intelligible	url:https://dl.acm.org/citation.cfm?id=2788613
Chaudhary2017_multiom_liver_cancer	doi:10.1101/114892
Che2015_distill	arxiv:1512.03542
Che2016_rnn	arxiv:1606.01865
Chen2015_hashing	arxiv:1504.04788
Chen2016_exprs_yeast	doi:10.1186/s12859-015-0852-1
Chen2016_gene_expr	doi:10.1093/bioinformatics/btw074
Chen2015_trans_species	doi:10.1093/bioinformatics/btv315
Choi2016_retain	arxiv:1608.05745
Choi2016_gram	arxiv:1611.07012
Chollet2016_xception	arxiv:1610.02357
Chryssolouris1996_confidence	doi:10.1109/72.478409
Ciresan2013_mitosis	doi:10.1007/978-3-642-40763-5_51
Coates2013_cots_hpc	url:http://www.jmlr.org/proceedings/papers/v28/coates13.html
Codella2016_ensemble_melanoma	arxiv:1610.04662
Consortium2012_encode	doi:10.1038/nature11247
CudNN	arxiv:1410.0759
Dahl2014_multi_qsar	arxiv:1406.1231
Dean2012_nips_downpour	url:http://research.google.com/archive/large_deep_networks_nips2012.html
DeepChem	url:https://github.com/deepchem/deepchem
Deming2016_genetic	arxiv:1605.07156
Ding	doi:10.1186/s12859-015-0753-3
Ditzler	doi:10.1186/s12859-015-0793-8
Ditzler2	doi:10.1109/TNNLS.2014.2320415
Ditzler3	doi:10.1109/TNB.2015.2461219
Dhungel2015_struct_pred_mamm	doi:10.1007/978-3-319-24553-9_74
Dhungel2016_mamm	doi:10.1007/978-3-319-46723-8_13
Dhungel2017_mamm_min_interv	doi:10.1016/j.media.2017.01.009
Dogwild	pmid:27330264
Dream_tf_binding	url:https://www.synapse.org/#!Synapse:syn6131484/wiki/402026
Dragonn	url:http://kundajelab.github.io/dragonn/
Duvenaud2015_graph_conv	url:http://papers.nips.cc/paper/5954-convolutional-networks-on-graphs-for-learning-molecular-fingerprints
Edwards2015_growing_pains	doi:10.1145/2771283
Ehran2009_visualizing	url:http://www.iro.umontreal.ca/~lisa/publications2/index.php/publications/show/247
Elephas	url:https://github.com/maxpumperla/elephas
Eser2016_fiddle	doi:10.1101/081380
Esfahani2016_melanoma	doi:10.1109/EMBC.2016.7590963
Essinger2010_taxonomic	doi:10.1109/IJCNN.2010.5596644
Esteva2017_skin_cancer_nature	doi:10.1038/nature21056
Faruqi	url:http://alifar76.github.io/sklearn-metrics/
Finnegan2017_maximum	doi:10.1101/105957
Fong2017_perturb	arxiv:1704.03296
Gal2015_dropout	arxiv:1506.02142
Gaublomme2015_th17	doi:10.1016/j.cell.2015.11.009
Gargeya2017_dr	doi:10.1016/j.ophtha.2017.02.008
Gawad2016_singlecell	doi:10.1038/nrg.2015.16
Geras2017_multiview_mamm	doi:10.1038/nrg.2015.16
Gerstein2016_scaling	doi:10.1186/s13059-016-0917-0
Ghandi2014_enhanced	doi:10.1371/journal.pcbi.1003711
Ghosh1992_sequence	doi:10.1117/12.140112
Gomezb2016_automatic	arxiv:1610.02415
Graphlab	doi:10.14778/2212351.2212354
Groop1986_islet	doi:10.2337/diab.35.2.237
Gultepe2014_sepsis	doi:10.1136/amiajnl-2013-001815
Gulshan2016_dt	doi:10.1001/jama.2016.17216
Gupta2015_exprs_yeast	doi:10.1101/031906
Gupta2015_prec	arxiv:1502.02551
Guetterman	url:http://www.fasebj.org/content/30/1_Supplement/406.3
Hadjas2015_cc	arxiv:1504.04343
He2015_images	arxiv:1512.03385
Hinton2006_autoencoders	doi:10.1126/science.1127647
Hinton2015_dark_knowledge	arxiv:1503.02531
Hinton2015_dk	arxiv:1503.02531v1
Hochreiter	doi:10.1093/bioinformatics/btm247
Hoff	doi:10.1093/nar/gkp327
Horton1992_assessment	doi:10.1093/nar/20.16.4331
Hubara2016_qnn	arxiv:1609.07061
Huddar2016_predicting	doi:10.1109/ACCESS.2016.2618775
Hughes2016_macromol_react	doi:10.1021/acscentsci.6b00162
Ithapu2015_efficient	doi:10.1016/j.jalz.2015.01.010
Jafari2016_skin_lesions	arxiv:1609.02374
Jha2017_integrative_models	doi:10.1101/104869
