tag	citation
Abe	doi:10.1101/gr.634603
AltaeTran2016_one_shot	doi:10.1021/acscentsci.6b00367
Asgari	doi:10.1371/journal.pone.0141287
blast	doi:10.1016/S0022-2836(05)80360-2
Angermueller2016_single_methyl	doi:10.1101/055715
Arvaniti2016_rare_subsets	doi:10.1101/046508
Baskin2015_drug_disc	doi:10.1080/17460441.2016.1201262
Barash2010_splicing_code	doi:10.1038/nature09000
Bengio2015_prec	arxiv:1412.7024
Bergstra2011_hyper	url:https://papers.nips.cc/paper/4443-algorithms-for-hyper-parameter-optimization.pdf
Bergstra2012_random	url:http://dl.acm.org/citation.cfm?id=2188395
Boza	arxiv:1603.09195
Caruana2014_need	arxiv:1312.6184
Chen2015_hashing	arxiv:1504.04788
Chen2016_exprs_yeast	doi:10.1186/s12859-015-0852-1
Chen2016_gene_expr	doi:10.1093/bioinformatics/btw074
Chen2015_trans_species	doi:10.1093/bioinformatics/btv315
Coates2013_cots_hpc	url:http://www.jmlr.org/proceedings/papers/v28/coates13.html
CudNN	arxiv:1410.0759
Dahl2014_multi_qsar	arxiv:1406.1231
Dean2012_nips_downpour	url:http://research.google.com/archive/large_deep_networks_nips2012.html
Ding	doi:10.1186/s12859-015-0753-3
Ditzler	doi:10.1186/s12859-015-0793-8
Ditzler2	doi:10.1109/TNNLS.2014.2320415
Ditzler3	doi:10.1109/TNB.2015.2461219
Dogwild	url:https://papers.nips.cc/paper/5717-taming-the-wild-a-unified-analysis-of-hogwild-style-algorithms.pdf
Duvenaud2015_graph_conv	url:http://papers.nips.cc/paper/5954-convolutional-networks-on-graphs-for-learning-molecular-fingerprints
Edwards2015_growing_pains	doi:10.1145/2771283
Elephas	url:https://github.com/maxpumperla/elephas
Faruqi	url:http://alifar76.github.io/sklearn-metrics/
Gerstein2016_scaling	doi:10.1186/s13059-016-0917-0
Gomezb2016_automatic	arxiv:1610.02415
Graphlab	doi:10.14778/2212351.2212354
Gupta2015_exprs_yeast	doi:10.1101/031906
Gupta2015_prec	arxiv:1502.02551
Guetterman	url:http://www.fasebj.org/content/30/1_Supplement/406.3
Hadjas2015_cc	arxiv:1504.04343
Hinton2015_dark_knowledge	arxiv:1503.02531
Hinton2015_dk	arxiv:1503.02531v1
Hochreiter	doi:10.1093/bioinformatics/btm247
Hoff	doi:10.1093/nar/gkp327
Hubara2016_qnn	arxiv:1609.07061
Jha2017_integrative_models	doi:10.1101/104869
JuanMateu2016_t1d	doi:10.1530/EJE-15-0916
Karlin	doi:10.1128/jb.179.12.3899-3913.1997
Kearnes2016_admet	arxiv:1606.08793
Kearnes2016_graph_conv	doi:10.1007/s10822-016-9938-8
Keras	url:https://github.com/fchollet/keras
Kizek	doi:10.1016/j.bjid.2015.08.013
Knights	doi:10.1111/j.1574-6976.2010.00251.x
Krizhevsky2013_nips_cnn	url:https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf
Krizhevsky2014_weird_trick	arxiv:1404.5997
Lacey2016_dl_fpga	arxiv:1602.04283
Li2014_minibatch	doi:10.1145/2623330.2623612
Li2016_variation	doi:10.1126/science.aad9417
Liang2015_exprs_cancer	doi:10.1109/TCBB.2014.2377729
Liu	doi:10.1371/journal.pone.0097958
lmat	doi:10.1093/bioinformatics/btt389
Lusci2015_irv	doi:10.1186/s13321-015-0110-6
Lusci2013_rnn doi:10.1021/ci400187y
Ma2015_qsar_merck	doi:10.1021/ci500747n
Mapreduce	doi:10.1145/1327452.1327492
Mayr2016_deep_tox	doi:10.3389/fenvs.2015.00080
McHardy	doi:10.1038/nmeth976
McHardy2	doi:10.7717/peerj.1603
Metaphlan	doi:10.1038/nmeth.2066
Meng2016_mllib	arxiv:1505.06807
Moritz2015_sparknet	arxiv:1511.06051
Mrzelj	url:https://repozitorij.uni-lj.si/IzpisGradiva.php?id=85515
nbc	doi:10.1093/bioinformatics/btq619
NIH2016_genome_cost	url:https://www.genome.gov/27565109/the-cost-of-sequencing-a-human-genome/
onecodex	url:https://www.onecodex.com/
Pereira2016_docking	doi:10.1021/acs.jcim.6b00355
Phymm	doi:10.1038/nmeth.1358
Qin2017_onehot	doi:10.1371/journal.pcbi.1005403
RAD2010_view_cc	doi:10.1145/1721654.1721672
Ramsundar2015_multitask_drug	arxiv:1502.02072
Raina2009_gpu	doi:10.1145/1553374.1553486
Rogers2010_fingerprints doi:10.1021/ci100050t
Rosenberg2015_synthetic_seqs	doi:10.1016/j.cell.2015.09.054
Sa2015_buckwild	arxiv:1506.06438
Salzberg	doi:10.1186/1471-2105-11-544
Schatz2010_dna_cloud	doi:10.1038/nbt0710-691
Schmidhuber2014_dnn_overview	doi:10.1016/j.neunet.2014.09.003
Scotti2016_missplicing	doi:10.1038/nrg.2015.3
Segata	doi:10.1371/journal.pcbi.1004977
Seide2014_parallel	doi:10.1109/ICASSP.2014.6853593
Shaham2016_batch_effects	arxiv:1610.04181
Singh2016_deepchrome	arxiv:1607.02078
Sonderby	arxiv:1503.01919
Soueidan	doi:10.1515/metgen-2016-0001
Spark	doi:10.1145/2934664
Stein2010_cloud	doi:10.1186/gb-2010-11-5-207
Stratnikov	doi:10.1186/2049-2618-1-11
Su2015_gpu	arxiv:1507.01239
Subramanian2016_bace1 doi:10.1021/acs.jcim.6b00290
Sun2016_ensemble	arxiv:1606.00575
Sutskever	arxiv:1409.3215
Swamidass2009_irv	doi:10.1021/ci8004379
Tan2014_psb	doi:10.1142/9789814644730_0014
Tan2015_adage	doi:10.1128/mSystems.00025-15
Tan2016_eadage	doi:10.1101/078659
TAC-ELM	doi:10.1142/S0219720012500151
TensorFlow	url:http://download.tensorflow.org/paper/whitepaper2015.pdf
Unterthiner2014_screening	url:http://www.bioinf.at/publications/2014/NIPS2014a.pdf
Vanhoucke2011_cpu	url:https://research.google.com/pubs/pub37631.html
Vervier	doi:10.1093/bioinformatics/btv683
Wallach2015_atom_net	arxiv:1510.02855
Wang2016_protein_contact	doi:10.1101/073239
Word2Vec	arxiv:1301.3781
wgsquikr	doi:10.1371/journal.pone.0091784
Xiong2011_bayesian	doi:10.1093/bioinformatics/btr444
Xiong2015_splicing_code	doi:10.1126/science.1254806
Yasushi2016_cgbvs_dnn	doi:10.1002/minf.201600045
yok	doi:10.1186/1471-2105-12-20
Zhou2015_deep_sea	doi:10.1038/nmeth.3547
